"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Tsu"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Houses Damaged"
"[""Region = 160 - South America"",""Country = CHILE""]"																		
	1520						"CHILE"	"CHILE"	-40	-74								
	1543						"CHILE"	"CHILE"	-19	-70.5								
	1562	10	28	10		178	"CHILE"	"CHILE"	-38.7	-73.5		8						
	1570	2	8	13		179	"CHILE"	"CHILE:  OLD CONCEPCION"	-36.75	-73		8.3						
	1575	12	16	18	30	185	"CHILE"	"CHILE:  VALDIVIA"	-39.8	-73.2		8.5	21					
	1604	12					"CHILE"	"CHILE"	-29.9	-71.3								
	1615	9	16			230	"CHILE"	"CHILE:  ARICA"	-18.5	-70.35		7.5						
	1633	5	14			246	"CHILE"	"CHILE:  FORT CARELMAPU"	-41.8	-73.8								
	1639	12					"CHILE"	"CHILE"	-30	-71.4								
	1647	5	14	2	30		"CHILE"	"CHILE:  SANTIAGO"	-33.4	-70.6		8.5	1000				300	
	1657	3	15	23	30	281	"CHILE"	"CHILE:  CONCEPCION, CHILLAN"	-36.83	-73.03		8						
	1657	7	9			282	"CHILE"	"CHILE:  SANTIAGO"	-33.5	-70.7								
	1681	3	10			329	"CHILE"	"CHILE"	-18.5	-70.35		7.5						
	1687	7	12			335	"CHILE"	"CHILE:  SANTIAGO"	-32.8	-70.7		7.5						
	1705	11	26			373	"CHILE"	"CHILE:  CHILE:  ARICA"	-18.6	-70.2								
	1730	7	8	8	45	400	"CHILE"	"CHILE:  VALPARAISO"	-32.5	-71.5		9.1	2					
	1737	12	24			415	"CHILE"	"CHILE: VALDIVIA, CHILOE"	-43	-74		8						
	1742	3	23			420	"CHILE"	"CHILE:  CONCEPCION"	-36.8	-73								
	1751	5	25	5	30	440	"CHILE"	"CHILE:  CONCEPCION, CHILLAN, TALCA, TUTUBEN, CURICO"	-36.83	-71.63		8.5						
	1765					5489	"CHILE"	"CHILE:  VALPARAISO"	-33.05	-71.617								
	1796	3	30	10	45		"CHILE"	"CHILE:  COPIAPO, VALLENAR, HUASCO, COQUIMBO"	-27.35	-70.35		7.7						
	1798	8	24				"CHILE"	"CHILE:  COPIAPO"	-27.35	-70.35								
	1811	11	19	14	15	604	"CHILE"	"CHILE:  VALPARAISO"	-33.08	-71.67								
	1819	4	3	14	0		"CHILE"	"CHILE:  COPIAPO"	-27.4	-70.3		8						
	1819	4	4	20	0		"CHILE"	"CHILE:  COPIAPO"	-27.4	-70.3		8						
	1819	4	12	3	0	626	"CHILE"	"CHILE:  COPIAPO"	-27	-71.5		8.5						
	1822	11	20	2	30	641	"CHILE"	"CHILE:  VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA"	-33	-72		8.5	72		200			
	1822	11	25	12	15		"CHILE"	"CHILE"	-33.05	-71.63								
	1829	9	26	19	12	673	"CHILE"	"CHILE:  VALPARAISO"	-33.05	-71.63		7						
	1831	10	9	2	15		"CHILE"	"CHILE: PERU:  TACNA,ARICA,AREQUIPA"	-18.5	-71		7.8						
	1833	4	25	14	30		"CHILE"	"CHILE"	-28.5	-71.3								
	1835	2	20	16	22	689	"CHILE"	"CHILE:  CONCEPCION"	-36.83	-73.03		8.2	50	30	500			
	1836	7	3			697	"CHILE"	"CHILE:  COBIJA"	-22.6	-70.3		7.5						
	1837	11	7	12	51	708	"CHILE"	"CHILE:  VALDIVIA"	-42.5	-74		8.5						
	1838	5	7			710	"CHILE"	"CHILE:  CENTRAL"	-36.7	-73.1								
	1843	12	17	22	15		"CHILE"	"CHILE"	-29.9	-71.3								
	1845	6	4	2	15		"CHILE"	"CHILE"	-18.5	-70.4								
	1846	3	13	11	0		"CHILE"	"CHILE:  COIAPO"	-27.35	-70.35								
	1847	3	8	15	0		"CHILE"	"CHILE"	-32.45	-71.27								
	1847	10	8				"CHILE"	"CHILE:  COQUIMBO"	-31.61	-71.18		7.3						
	1847	10	19			756	"CHILE"	"CHILE:  COQUIMBO"	-31.61	-71.18								
	1849	11	17	10	10	772	"CHILE"	"CHILE:  COQUIMBO"	-29.95	-71.37		7.5						
	1851	4	2	10	48	777	"CHILE"	"CHILE:  VALPARAISO"	-33.32	-71.42		7.1						
	1851	5	26	18	14	783	"CHILE"	"CHILE:  COPIAPO"	-27.35	-70.35		7.2						
	1855	8	11	9	15	847	"CHILE"	"CHILE:  VALPARAISO"	-33	-71.7								
	1858	4	24	11	15	875	"CHILE"	"CHILE:  LA SERENA"	-30	-71.4		6.5						
	1859	10	5	12	0	888	"CHILE"	"CHILE"	-27.35	-70.35		7.6	10			0.93	339	
	1868	8	13	21	30	983	"CHILE"	"CHILE:  ARICA"	-18.6	-71	25	8.5	25000					
	1868	8	14	1	30	5484	"CHILE"	"CHILE:  ARICA"	-18.6	-71		8.5						
	1868	9	14			989	"CHILE"	"CHILE:  CENTRAL"	-36.7	-73.2								
	1868	10	16			992	"CHILE"	"CHILE:  CENTRAL"	-33.1	-71.7								
	1869	1	27			995	"CHILE"	"CHILE:  SANTIAGO, VALPARAISO"	-36.6	-73								
	1869	2	6			996	"CHILE"	"CHILE: VALDIVIA, CORRAl"	-39.9	-73.4								
	1869	6	25			3040	"CHILE"	"CHILE:  IQUIQUE, PISAGUA"	-19.6	-70.2								
	1869	8	9			1004	"CHILE"	"CHILE:  COQUIMBO"	-30	-71.4								
	1869	8	21	16	40	5408	"CHILE"	"CHILE:  IQUIQUE"	-21	-70		6.8						
	1869	8	24	17	10	1010	"CHILE"	"CHILE:  IQUIQUE, PICA; PERU:  TACNA"	-19.6	-70.23	30	7.5						
	1870	4	22	13	20		"CHILE"	"CHILE"	-22.5	-68.9								
	1871	3	25			1023	"CHILE"	"CHILE:  CENTRAL"	-35	-72.5		7.5						
	1871	8	20			1024	"CHILE"	"CHILE:  VALPARAISO"	-33.1	-71.7								
	1871	10	5	9		1029	"CHILE"	"CHILE"	-20.2	-70.2		7.3					101	
	1871	12	28			1031	"CHILE"	"CHILE:  PUERTO MONTT"	-41.5	-73								
	1873	7	7	6	26	1052	"CHILE"	"CHILE:  LIGUA, QUILLOLTA"	-32.3	-71.16								
	1873	11	19			1053	"CHILE"	"CHILE:  ANTOFAGASTA"	-23.6	-70.4								
	1877	5	10	0	59	1075	"CHILE"	"CHILE:  OFF NORTH COAST"	-21.5	-70.5	40	8.3	103			1.6		
	1877	5	15			1079	"CHILE"	"CHILE:  NORTHERN:  HUANILLOS"	-21.2	-70.1								
	1877	6	15			1080	"CHILE"	"CHILE:  NORTHERN"	-19.6	-70.2								
	1877	8	23			1081	"CHILE"	"CHILE:  IQUIQUE"	-20.2	-70.1								
	1877	10	9			1083	"CHILE"	"CHILE"	-24	-71								
	1878	1	23	12	5	1090	"CHILE"	"CHILE:  TARAPACA"	-19.92	-70.335	40	7.9						
	1878	2	14			1097	"CHILE"	"CHILE:  CENTRAL"	-36.8	-73								
	1878	3	12			1099	"CHILE"	"CHILE:  NORTHERN"	-20.2	-70.1								
	1878	4	12			1100	"CHILE"	"CHILE:  NORTHERN"	-20.2	-70.1								
	1878	6	12			1105	"CHILE"	"CHILE:  NORTHERN"	-23.7	-70.4								
	1880	8	15	12	48	1118	"CHILE"	"CHILE:  ILLAPEL"	-31.62	-71.18		7.7	2				600	
	1881	7	14			1123	"CHILE"	"CHILE:  NORTHERN"	-20.2	-70.1								
	1881	10	27			1126	"CHILE"	"CHILE:  NORTHERN"	-19.6	-70.2								
	1882	2	23			1131	"CHILE"	"CHILE:  NORTHERN"	-33.58	-71.63								
	1882	9	14			1134	"CHILE"	"CHILE:  PISAGUA"	-19.6	-70.2								
	1885	11	12			1156	"CHILE"	"CHILE:  IQUIQUE"	-20.2	-70.1								
	1892	3	27			5615	"CHILE"	"CHILE:  ARICA"	-18.5	-70.35								
	1895	5	31			5628	"CHILE"	"CHILE:  NORTHERN"	-18	-71								
	1896	3	13				"CHILE"	"CHILE:  LIMACHE, ALMENDRAL"	-33	-71								
